Term,Section,Title,Capacity,Day,Time,Location,Start Date,End Date,Prerequisites,Equipment,GIR Points,Swim GIR,Fee Amount
2026Q3,PE.0411-3,Group Exercise- Yoga,20,TR,5:00 PM,Du Pont T Club Lounge,2/10/2026,3/19/2026,None,Workout clothes and water bottle.,2,N,$0.00 
2026Q3,PE.0414-1,Weight Training,16,MW,11:00 AM,Du Pont Varsity Weight Room,2/11/2026,3/18/2026,Students must attend first 4 classes.,"Workout clothes, footwear and water bottle.",2,N,$0.00 
2026Q3,PE.0414-2,Weight Training,16,MW,1:00 PM,Du Pont Varsity Weight Room,2/11/2026,3/18/2026,Students must attend first 4 classes.,"Workout clothes, footwear and water bottle.",2,N,$0.00 
2026Q3,PE.0414-3,Weight Training,16,MW,2:00 PM,Du Pont Varsity Weight Room,2/11/2026,3/18/2026,Students must attend first 4 classes.,"Workout clothes, footwear and water bottle.",2,N,$0.00 
2026Q3,PE.0414-4,Weight Training,16,TR,11:00 AM,Du Pont Varsity Weight Room,2/10/2026,3/19/2026,Students must attend first 4 classes.,"Workout clothes, footwear and water bottle.",2,N,$0.00 
2026Q3,PE.0414-5,Weight Training,16,TR,2:00 PM,Du Pont Varsity Weight Room,2/10/2026,3/19/2026,Students must attend first 4 classes.,"Workout clothes, footwear and water bottle.",2,N,$0.00 
2026Q3,PE.0432-1,Group Exercise- Barre Fitness,15,TR,2:00 PM,Du Pont T Club Lounge,2/10/2026,3/19/2026,None,Workout clothes and water bottle.,2,N,$0.00 
2026Q3,PE.0435-1,Group Exercise- Functional Fitness,20,MW,3:00 PM,Du Pont T Club Lounge,2/11/2026,3/18/2026,None,"Workout clothes, footwear and water bottle.",2,N,$0.00 
2026Q3,PE.0444-1,Group Exercise- HIIT,20,TR,6:00 PM,Du Pont T Club Lounge,2/10/2026,3/19/2026,None,"Workout clothes, footwear and water bottle.",2,N,$0.00 
2026Q3,PE.0517-1,Fitness (Yoga)/CPR/First Aid,12,MW,4:00 PM,Du Pont Multi-Purpose Room,2/11/2026,3/18/2026,"Q3 2026: Students must complete the remote asynchronous CPR content and in-person CPR and FA exam sessions to become CPR/First Aid certified and students must be able to kneel and use 2 arms to give compressions. In person class starts Tue, Feb. 17 (switch day)",Workout clothes and water bottle. Lab fee covers pocket mask and CPR and first aid certification cards,2,N,$60.00 
2026Q3,PE.0518-1,Fitness (Yoga)/Meditation,16,TR,6:00 PM,Du Pont Multi-Purpose Room,2/10/2026,3/19/2026,None,Workout clothes and a filled water bottle.,2,N,$0.00 
2026Q3,PE.0529-1,Fitness(Yoga)/Meditation (remote synchronous),15,MW,7:00 PM,Remote Synchronous,2/11/2026,3/18/2026,"This remote synchronous course requires internet access, computer (or tablet, mobile device) with a camera, microphone, and working speaker, MIT Zoom account, roughly 6 foot x 6 foot physical area clear of any objects with a standard 7 - 8 foot ceiling and non-slip floor to do physical activity, comfortable with using 'camera on' function during Zoom sessions. ","Workout clothing and filled water bottle, mat or towel. See other prerequisites.",2,N,$0.00 
2026Q3,PE.0544-1,Fitness(Strength Circuit)/Nutrition,16,MW,5:00 PM,Du Pont Multi-Purpose Room,2/11/2026,3/18/2026,None,"Sneakers/footwear, comfortable workout clothing and water bottle.
",2,N,$0.00 
2026Q3,PE.0545-1,Fitness(Strength Circuit)/Resiliency,16,MW,3:00 PM,Du Pont Multi-Purpose Room,2/11/2026,3/18/2026,None,Workout clothes and filled water bottle.,2,N,$0.00 
2026Q3,PE.0546-1,Fitness(Strength Circuit)/Stress Management,16,MW,6:00 PM,Du Pont Multi-Purpose Room,2/11/2026,3/18/2026,None,"Sneakers/footwear, comfortable workout clothing and water bottle.",2,N,$0.00 
2026Q3,PE.0600-1,Archery,14,TR,10:00 AM,Rockwell Cage North,2/10/2026,3/19/2026,Students must attend first 4 classes.,"Work out clothes, footwear, and a filled water bottle. ",2,N,$15.00 
2026Q3,PE.0600-2,Archery,14,TR,11:00 AM,Rockwell Cage North,2/10/2026,3/19/2026,Students must attend first 4 classes.,"Work out clothes, footwear, and a filled water bottle. ",2,N,$15.00 
2026Q3,PE.0600-3,Archery,14,TR,1:00 PM,Rockwell Cage North,2/10/2026,3/19/2026,Students must attend first 4 classes.,"Work out clothes, footwear, and a filled water bottle. ",2,N,$15.00 
2026Q3,PE.0600-4,Archery,14,TR,2:00 PM,Rockwell Cage North,2/10/2026,3/19/2026,Students must attend first 4 classes.,"Work out clothes, footwear, and a filled water bottle. ",2,N,$15.00 
2026Q3,PE.0600-5,Archery,14,MW,1:00 PM,Rockwell Cage North,2/11/2026,3/18/2026,Students must attend first 4 classes.,"Work out clothes, footwear, and a filled water bottle. ",2,N,$15.00 
2026Q3,PE.0600-6,Archery,14,MW,2:00 PM,Rockwell Cage North,2/11/2026,3/18/2026,Students must attend first 4 classes.,"Work out clothes, footwear, and a filled water bottle. ",2,N,$15.00 
2026Q3,PE.0601-1,Badminton,16,TR,1:00 PM,Rockwell Cage South,2/10/2026,3/19/2026,None,"Work out clothes, footwear(court shoes preferred), and a filled water bottle. ",2,N,$10.00 
2026Q3,PE.0601-2,Badminton,16,TR,2:00 PM,Rockwell Cage South,2/10/2026,3/19/2026,None,"Work out clothes, footwear(court shoes preferred), and a filled water bottle. ",2,N,$10.00 
2026Q3,PE.0603-1,"Fencing, Sabre",16,TR,3:00 PM,Du Pont Fencing Room,2/10/2026,3/19/2026,Students must attend first 4 classes.,Workout clothes,2,N,$15.00 
2026Q3,PE.0608-1,Pistol,14,TR,1:00 PM,Du Pont Pistol Range,2/10/2026,3/19/2026,"Students must attend first 4 classes, though attendance at all classes is strongly recommended.
","Baseball style hats (old fashioned type with the brim to the front, not the rear), are mandatory. All other equipment will be provided. If students own their own protective shooting glasses and/or hearing protection they may use same after approval by the instructor.",2,N,$35.00 
2026Q3,PE.0608-2,Pistol,14,TR,2:00 PM,Du Pont Pistol Range,2/10/2026,3/19/2026,"Students must attend first 4 classes, though attendance at all classes is strongly recommended.
","Baseball style hats (old fashioned type with the brim to the front, not the rear), are mandatory. All other equipment will be provided. If students own their own protective shooting glasses and/or hearing protection they may use same after approval by the instructor.",2,N,$35.00 
2026Q3,PE.0609-1,"Pistol, Intermediate",14,TR,11:00 AM,Du Pont Pistol Range,2/10/2026,3/19/2026,"Student must have successfully completed the MIT PEandW Beginner Pistol Course. Note: Student must attend first 4 classes, though attendance at all classes is strongly recommended.","Baseball style hats (old fashioned type with the brim to the front, not the rear), are mandatory. All other equipment will be provided. If students own their own protective shooting glasses and/or hearing protection they may use same after approval by the instructor.

",2,N,$35.00 
2026Q3,PE.0612-1,"Skate, Beginner",20,MW,1:00 PM,Johnson Ice Rink 1,2/11/2026,3/18/2026,None,Skates and a helmet- provided at the rink. Warm clothes and gloves/mittens.,2,N,$20.00 
2026Q3,PE.0612-2,"Skate, Beginner",20,TR,11:00 AM,Johnson Ice Rink 1,2/10/2026,3/19/2026,None,Skates and a helmet- provided at the rink. Warm clothes and gloves/mittens.,2,N,$20.00 
2026Q3,PE.0612-3,"Skate, Beginner",20,TR,1:00 PM,Johnson Ice Rink 1,2/10/2026,3/19/2026,None,Skates and a helmet- provided at the rink. Warm clothes and gloves/mittens.,2,N,$20.00 
2026Q3,PE.0612-4,"Skate, Beginner",20,TR,2:00 PM,Johnson Ice Rink 1,2/10/2026,3/19/2026,None,Skates and a helmet- provided at the rink. Warm clothes and gloves/mittens.,2,N,$20.00 
2026Q3,PE.0613-1,"Skate, Intermediate",15,MW,1:00 PM,Johnson Ice Rink 2,2/11/2026,3/18/2026,"Prior skate experience. Students must be able to skate forward, backward and stop.",Skates and helmet- provided at rink. Warm clothes and gloves/mittens.,2,N,$20.00 
2026Q3,PE.0613-2,"Skate, Intermediate",15,TR,11:00 AM,Johnson Ice Rink 2,2/10/2026,3/19/2026,"Prior skate experience. Students must be able to skate forward, backward and stop.",Skates and helmet- provided at rink. Warm clothes and gloves/mittens.,2,N,$20.00 
2026Q3,PE.0613-3,"Skate, Intermediate",15,TR,1:00 PM,Johnson Ice Rink 2,2/10/2026,3/19/2026,"Prior skate experience. Students must be able to skate forward, backward and stop.",Skates and helmet- provided at rink. Warm clothes and gloves/mittens.,2,N,$20.00 
2026Q3,PE.0613-4,"Skate, Intermediate",15,TR,2:00 PM,Johnson Ice Rink 2,2/10/2026,3/19/2026,"Prior skate experience. Students must be able to skate forward, backward and stop.",Skates and helmet- provided at rink. Warm clothes and gloves/mittens.,2,N,$20.00 
2026Q3,PE.0616-1,Squash,12,MW,11:00 AM,Zesiger Squash Courts,2/11/2026,3/18/2026,None,"Work out clothes, footwear(non-marking or gum soled), and a filled water bottle. ",2,N,$10.00 
2026Q3,PE.0616-2,Squash,12,TR,1:00 PM,Zesiger Squash Courts,2/10/2026,3/19/2026,None,"Work out clothes, footwear(non-marking or gum soled), and a filled water bottle. ",2,N,$10.00 
2026Q3,PE.0616-3,Squash,12,TR,2:00 PM,Zesiger Squash Courts,2/10/2026,3/19/2026,None,"Work out clothes, footwear(non-marking or gum soled), and a filled water bottle. ",2,N,$10.00 
2026Q3,PE.0617-1,"Squash, Intermediate",12,TR,11:00 AM,Zesiger Squash Courts,2/10/2026,3/19/2026,"Completion of Beginner Squash class or had experience in high school or club. Please email instructor at bbubna@mit.edu if you are not sure regarding your ability or if you have any questions
","Work out clothes, footwear(non-marking or gum soled), and a filled water bottle. Racquet, ball and eye protection are provided.",2,N,$10.00 
2026Q3,PE.0626-1,Rifle,14,MW,11:00 AM,Du Pont Pistol Range,2/11/2026,3/18/2026,"Students must attend first 4 classes, though attendance at all classes is strongly recommended.","Baseball style hats (old fashioned type with the brim to the front, not the rear), are mandatory. All other equipment will be provided. If students own their own protective shooting glasses and/or hearing protection they may use same after approval by the instructor.",2,N,$35.00 
2026Q3,PE.0626-2,Rifle,14,MW,1:00 PM,Du Pont Pistol Range,2/11/2026,3/18/2026,"Students must attend first 4 classes, though attendance at all classes is strongly recommended.","Baseball style hats (old fashioned type with the brim to the front, not the rear), are mandatory. All other equipment will be provided. If students own their own protective shooting glasses and/or hearing protection they may use same after approval by the instructor.",2,N,$35.00 
2026Q3,PE.0626-3,Rifle,14,MW,2:00 PM,Du Pont Pistol Range,2/11/2026,3/18/2026,"Students must attend first 4 classes, though attendance at all classes is strongly recommended.","Baseball style hats (old fashioned type with the brim to the front, not the rear), are mandatory. All other equipment will be provided. If students own their own protective shooting glasses and/or hearing protection they may use same after approval by the instructor.",2,N,$35.00 
2026Q3,PE.0636-1,Self-Defense for Women,20,MW,1:00 PM,Du Pont Wrestling Room,2/11/2026,3/18/2026,This is an all female course.,None,2,N,$0.00 
2026Q3,PE.0646-1,Pickleball,16,MW,11:00 AM,Rockwell Cage South,2/11/2026,3/18/2026,None,"Work out clothes, footwear, and a filled water bottle. ",2,N,$10.00 
2026Q3,PE.0657-1,Spec Tennis,16,MW,2:00 PM,Rockwell Cage South,2/11/2026,3/18/2026,None,Comfortable clothing and footwear.,2,N,$10.00 
2026Q3,PE.0701-1,Ice Hockey,20,MW,2:00 PM,Johnson Ice Rink,2/11/2026,3/18/2026,This course requires a command of forward and backward skating as well as a strong consistent stop that can be learned in beginner skate or equivalent (email instructor using physicaleducationandwellness@mit.edu address if you have questions related to your ability).,"Ice hockey skates, helmet, shin guards, gloves and hockey stick provided at rink. ",2,N,$20.00 
2026Q3,PE.0703-1,"Soccer, Beginner",15,MW,11:00 AM,Zesiger MAC Court,2/11/2026,3/18/2026,This course will be held indoors.,Court shoes recommended for indoor play. Workout clothes. ,2,N,$0.00 
2026Q3,PE.0800-1,Aikido,20,TR,1:00 PM,Du Pont Wrestling Room,2/10/2026,3/19/2026,None,Workout clothes,2,N,$0.00 
2026Q3,PE.0922-1,"Parkour, Beginner",16,F,1:15 PM,Zesiger MAC Court,2/13/2026,3/20/2026,"2/13, 2/20, 2/27, 3/6, 3/13, 3/20**(** Ends in Q4). Time: 1:15p-2:45p  Registration is pending until all forms sent from PE&W office have been completed by Mon, 2/9 by 5p. Forms will be sent from the PE&W office using the student's MIT email by the close of online registration. Check SPAM folders if emails are being forwarded from an MIT email account.",Workout clothes. Court shoes recommended.,2,N,$75.00 
